,"RandomForestRegressor(criterion='mae', max_depth=29, max_features='sqrt',
                      min_samples_leaf=5, min_samples_split=5,
                      n_estimators=1000, random_state=6)",NuSVR(kernel='poly'),"GradientBoostingRegressor(learning_rate=0.3, min_samples_leaf=30,
                          min_samples_split=60, n_estimators=20,
                          random_state=0)","DecisionTreeRegressor(max_depth=3, min_samples_leaf=60, min_samples_split=5)","AdaBoostRegressor(base_estimator=DecisionTreeRegressor(max_depth=4),
                  learning_rate=0.3, loss='exponential', n_estimators=80,
                  random_state=0)"
74,495.1784293584252,493.24621609869575,495.3509569734215,493.01795119742974,493.60722229936056
75,487.825490699872,490.3392078209947,488.58002925912615,490.8529065750889,489.87295078954656
76,490.3580653184701,490.13395206219894,490.1860741540888,489.71937187036673,490.3739419376965
77,499.72268561517006,499.79913930560724,499.2115381234724,500.726658035386,500.06989684677944
78,491.51765969709675,490.3495195719723,490.72967661218865,490.8529065750889,490.90148568701994
79,494.70955980308986,495.51103786026573,494.13415417877457,494.12803774385674,494.5404359606289
80,491.1658321372871,489.68458908597216,490.2391488421427,489.71937187036673,489.7025812281281
81,498.23678300675675,499.3471711588028,499.7325046941763,500.726658035386,499.5439598518579
82,490.37268959661003,489.4277277944577,489.42119687724,489.71937187036673,489.6553447505154
83,493.39523247211014,493.9483304349057,493.6045076293098,493.01795119742974,493.60722229936056
84,490.67319543823305,490.7278954250893,491.14613367706016,490.8529065750889,490.910570626793
85,495.94777460450047,494.0843314904415,494.80375909577566,495.1490258760933,494.9075268240631
86,493.6459468370634,495.7666770475047,494.81410340839085,495.1490258760933,493.4949909541461
87,490.67164575111235,490.1211487704454,490.0029759957075,489.71937187036673,489.77821250830334
88,491.36236219207996,490.1322587619275,491.4278885678046,489.71937187036673,490.11378796252427
89,489.0642461253378,490.3940708589678,490.55992975456843,489.71937187036673,489.77821250830334
90,490.0700910041965,491.0147730934632,490.78785267246707,490.8529065750889,490.6274593017862
91,490.6095193124502,490.37156141060393,489.14956283506456,489.71937187036673,489.98633651961114
92,488.6853065320117,490.4933996389139,489.4027366414521,490.8529065750889,490.05765720454445
93,491.24230454432626,490.83888799008537,490.7593116742695,490.8529065750889,490.9796206658866
94,490.8132462055962,490.35552897494796,490.91091049749735,490.8529065750889,491.23230489911174
95,489.8715753928854,489.4067503810472,488.587414050844,489.71937187036673,489.438254836889
96,490.485899290122,490.11200143745793,490.3423561733707,489.71937187036673,490.05597841596807
97,488.67853259483456,490.3367587896748,488.4133745634165,489.71937187036673,489.7025812281281
98,494.9943714737675,494.4690811715542,495.3036472138362,494.12803774385674,494.81169480267914
99,489.9126048170147,489.73442312903563,489.6675424158223,489.71937187036673,489.7038710453105
100,490.5749240648901,490.19266884998297,489.2974757009179,489.71937187036673,489.54311546155446
101,489.6257534504053,487.8538127159871,489.79927262846564,489.71937187036673,489.77628970659123
102,490.41810621683885,489.5453791397077,491.06171022100125,489.71937187036673,489.6553447505154
103,488.61173227954964,490.19974973979834,489.45885994680475,489.71937187036673,489.52183629034164
104,490.9431455706696,489.759540013242,490.2473792166519,489.71937187036673,490.0171358925457
105,489.41970585974764,489.89545163512366,489.72047649972274,489.71937187036673,489.6553447505154
106,489.66093880576193,490.216275095976,490.7264367998624,490.8529065750889,490.1327978446014
107,489.57024172580265,490.19082696830577,489.83632856164024,489.71937187036673,489.7038710453105
108,490.8066194608081,490.0949016831117,489.97693230075845,490.8529065750889,490.6057057605461
109,490.2091064956581,490.3264901743208,490.2862328680181,490.8529065750889,490.4530277208907
110,495.2437291364849,494.98700387706157,494.5911241713976,494.12803774385674,494.7879226613884
111,490.2667873148875,490.1442941261891,491.1838711162528,490.8529065750889,490.3086244688814
